Issue Type,Summary,Description,Priority,Assignee,Original Estimate,Labels
Task,"R00 API compatibility mapping","Freeze API compatibility mapping from existing endpoints to blueprint endpoints, keep old endpoints available.",Highest,solo_dev,3h,"mvp,architecture,api"
Task,"R01 Visibility matrix freeze","Define final visibility matrix by role for timeline and file permissions.",Highest,solo_dev,2h,"mvp,architecture,permission"
Task,"DB01 Create case_flows table","Add case_flows with visible_to and required indexes using migrations.",Highest,solo_dev,4h,"mvp,database,case-flow"
Task,"DB02 Extend files schema","Add uploader_role, description, parse_status to files and provide backfill script.",Highest,solo_dev,5h,"mvp,database,files"
Task,"DB03 Extend cases analysis status","Add analysis_status and analysis_progress fields to cases table.",Highest,solo_dev,3h,"mvp,database,cases"
Task,"DB04 Case number auto-generation","Implement auto case number generation when manual input is empty.",High,solo_dev,5h,"mvp,database,case-number"
Task,"BE01 Case detail uses persisted flows","Refactor case detail to query persistent case_flows instead of runtime assembled timeline.",Highest,solo_dev,4h,"mvp,backend,cases"
Task,"BE02 Unified flow writer","Implement centralized flow write service for create/upload/analyze/fail/reanalyze actions.",Highest,solo_dev,6h,"mvp,backend,flow"
Task,"BE03 File visibility enforcement","Enforce client file visibility: own uploads downloadable, lawyer uploads name-only.",Highest,solo_dev,4h,"mvp,backend,files,permission"
Task,"BE04 Client delete own files","Allow client to delete files uploaded by themselves only.",High,solo_dev,3h,"mvp,backend,files"
Task,"BE05 Auto reanalyze with debounce","Trigger auto reanalysis after supplemental upload with 5-minute debounce window.",Highest,solo_dev,4h,"mvp,backend,ai"
Task,"BE06 Allow client AI WS subscription","Update websocket auth to allow client subscription for own-case tasks only.",Highest,solo_dev,4h,"mvp,backend,ws,permission"
Task,"BE07 Implement DB queue worker model","Replace in-process thread execution with DB queue worker model on ai_tasks with retry/dead-letter and pluggable queue driver.",Highest,solo_dev,12h,"mvp,backend,queue,ai"
Task,"BE08 Sync AI progress to cases and flows","Write AI stage progress to cases.analysis_progress and case_flows.",Highest,solo_dev,6h,"mvp,backend,ai,flow"
Task,"BE09 Add canonical case endpoints","Add canonical endpoints such as /cases/{id}/files and /cases/{id}/report while keeping compatibility.",High,solo_dev,4h,"mvp,backend,api"
Task,"BE10 Integrate Puppeteer report service","Integrate standalone Node+Puppeteer service for PDF report generation.",Highest,solo_dev,10h,"mvp,backend,pdf,report"
Task,"BE11 Report history visibility strategy","Keep report history for lawyer and expose latest-only report to client.",High,solo_dev,4h,"mvp,backend,pdf,storage"
Task,"BE12 AI budget circuit breaker","Add monthly tenant budget cap + per-case budget cap + over-limit model downgrade/auto-analyze disable with flow logs.",Highest,solo_dev,6h,"mvp,backend,ai,cost-control"
Task,"FEW01 Web case detail alignment","Align web case detail page with persisted flow and analysis status fields.",High,solo_dev,5h,"mvp,web,cases"
Task,"FEW02 Web-to-mini lawyer parity checklist","Produce full parity checklist of web lawyer features for mini-program planning.",High,solo_dev,3h,"mvp,web,planning"
Task,"FEM01 Client detail page restructure","Restructure mini client case detail layout to blueprint sections.",Highest,solo_dev,8h,"mvp,mini,client-ui"
Task,"FEM02 Client file visibility UI","Show lawyer-uploaded files as name-only and block download in mini client view.",Highest,solo_dev,3h,"mvp,mini,client-ui,permission"
Task,"FEM03 Client delete uploaded file UI","Add delete action for client-owned uploads in mini client page.",High,solo_dev,3h,"mvp,mini,client-ui,files"
Task,"FEM04 Supplemental upload page","Implement dedicated supplemental upload page with multi-file + per-file description + confirm.",Highest,solo_dev,6h,"mvp,mini,upload"
Task,"FEM05 WS + polling dual progress","Implement websocket first and polling fallback for client AI progress display.",Highest,solo_dev,4h,"mvp,mini,ws,ai"
Task,"FEM06 Login routing by case count","If one case direct to detail, if multiple cases go to case list.",High,solo_dev,2h,"mvp,mini,routing"
Task,"FEM07 Mini report download","Integrate report download/open flow in mini client page.",High,solo_dev,2h,"mvp,mini,pdf"
Task,"FEM08 Mini lawyer parity phase-1","Deliver core-loop parity first for mini lawyer pages, then extend to full web parity.",High,solo_dev,5h,"mvp,mini,lawyer"
Task,"QA01 Permission regression suite","Add regression tests for visibility, cross-tenant, and unauthorized access.",Highest,solo_dev,6h,"mvp,qa,security"
Task,"QA02 End-to-end main chain","Automate E2E chain: create -> invite -> upload -> analyze -> report download.",Highest,solo_dev,8h,"mvp,qa,e2e"
Task,"OPS01 Observability for MQ/WS/AI","Configure dashboards and alerts for queue backlog, ai failures, ws errors.",Medium,solo_dev,5h,"mvp,ops,monitoring"
Task,"OPS02 Release rollback updates","Update deployment and rollback scripts for new schema and services.",Medium,solo_dev,4h,"mvp,ops,release"
